id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
71639,71865,129116,5471,,,,14.699332,-37.793498,103.9501,-29.56,-30.68,1,4.01,-1.074,B2.5V,-0.157,-62.472079,-53.33727,-63.702434,-0.00000308,0.00001696,-0.00001284,3.848276137,-0.659620983,-1.43311E-07,-1.48741E-07,,,Cen,1,71639,,234.2070695,,,
78290,78527,144284,5986,Gl 609.1,13The Dra,,16.031532,58.565251,21.0349,-320.07,334.96,-7.7,4.01,2.395,F8IV-V,0.528,-5.406623,-9.545392,17.947647,-0.00001201,0.00004502,0.00001109,4.19704539,1.022156464,-1.55174E-06,1.62393E-06,The,13,Dra,1,78290,,9.594006315,,,
79759,80000,146686,6072,Wo 9554,Gam2Nor,,16.330687,-50.155508,39.4789,-159.36,-52.84,-28.9,4.01,1.028,G8III,1.08,-10.705758,-22.916885,-30.311157,-0.00001633,0.0000371,0.00001621,4.275363958,-0.875378746,-7.72599E-07,-2.56176E-07,Gam-2,,Nor,1,79759,,33.79091874,,,
91507,91792,171759,6982,,Zet Pav,,18.71726,-71.428113,66.9792,1.25,-158.29,-16,4.01,-0.12,K2III,1.134,3.982268,-20.957449,-63.491109,-0.00000967,0.00005306,-0.00000086,4.900167096,-1.246655756,6.06017E-09,-7.67412E-07,Zet,,Pav,1,91507,,97.27472238,,,
100750,101076,195295,7834,,41    Cyg,,20.489926,30.368555,235.8491,6.87,-0.64,-18,4.01,-2.853,F5II,0.404,123.449711,-161.764331,119.235866,-0.00000317,0.0000171,-0.00000994,5.364250173,0.530031274,3.33067E-08,-3.10281E-09,,41,Cyg,1,100750,,1205.591008,,,
43286,43409,75691,3518,,Gam Pyx,,8.842204,-27.709844,63.5728,-133.49,88.16,25,4.02,0.004,K3III,1.272,-38.119847,41.407111,-29.561085,0.00000638,0.00005381,0.00001216,2.31488352,-0.483628019,-6.47178E-07,4.27412E-07,Gam,,Pyx,1,43286,,86.7760745,,,
59020,59199,105452,4623,Gl 455.3,1Alp Crv,,12.140225,-24.728875,14.9365,100.18,-39.33,2.9,4.02,3.149,F0IV/V,0.334,-13.557668,-0.497944,-6.248321,-0.00000124,-0.0000073,-0.00000383,3.178303548,-0.431600297,4.85686E-07,-1.90677E-07,Alp,1,Crv,1,59020,,4.7907113,,,
92951,93244,176411,7176,,13Eps Aql,,18.993711,15.068298,47.5059,-52.68,-73.81,-48,4.02,0.636,K2III,1.082,11.79959,-44.328509,12.35001,-0.00002278,0.00003842,-0.00002918,4.972541823,0.262991415,-2.554E-07,-3.57841E-07,Eps,13,Aql,1,92951,,48.48417387,,,
93136,93429,176678,7193,,12    Aql,,19.028008,-5.739115,44.1306,-24.15,-39.73,-44,4.02,0.796,K1IIIvar,1.079,11.675164,-42.328374,-4.412978,-0.00001711,0.00004261,-0.00000396,4.981520729,-0.10016645,-1.17083E-07,-1.92616E-07,,12,Aql,1,93136,,41.84080196,,,
10645,10670,14055,664,,9Gam Tri,,2.288573,33.847194,34.4353,44.91,-52.42,14,4.03,1.345,A1Vnn,0.019,23.617959,16.128369,19.179839,0.00000962,0.00001565,0.00000071,0.599146943,0.590744969,2.1773E-07,-2.54139E-07,Gam,9,Tri,1,10645,,25.23480772,,,
23467,23522,31910,1603,,10Bet Cam,,5.05697,60.442245,267.3797,-6.11,-14.78,-2,4.03,-3.106,G0Ib,0.921,32.233956,127.899195,232.582593,0.00001151,0.00001325,-0.00001123,1.323911771,1.05491619,-2.96221E-08,-7.16555E-08,Bet,10,Cam,1,23467,,1521.948651,,,
